"id","title","researcher_id","degree_id","date_of_publish","paper_number","others"
38,أثر الثقافة العربية الاسلامية في تعليم اللغة العربية للناطقين بغيرها : دراسة تطبيقي على سلسلة معهد اللغة العربية للناطقين بغيرها,313,3,2014,2181,""
39,أثر الدافعية الشخصية لدى الطالب في تعلم اللغة العربية في منطقة قارسا شمال شرق كينيا,1552,3,2011,1943,""
40,أثر الدوافع الشخصية في تعلم اللغة العربية : دراسة تطبيقية لطلاب المعهد,2069,3,2009,1876,""
41,أثر الشواهد القرآنية والاحاديث النبوية في تعليم مهارة القراءة للناطقين بغير اللغة العربية (بالتطبيق على معهد اللغة العربية - جامعة افريقيا العالمية ),2079,3,2014,2237,""
42,أثر الصورة في تعليم اللغة العربية للناطقين بغيرها من الأطفال,389,3,1997,1068,""
43,أثر العامية السودانية في لغة الهوسا في السودان,220,3,1987,568,""
44,أثر العامية العربية السودانية في تعلم اللغة العربية بوصفها لغة ثانية لغير الناطقين بها,1659,3,2000,1221,""
45,أثر العامية في التعبير الشفوي لدي طلاب المرحلة الثانوية,121,3,1995,954,""
46,أثر العامية في التعبير الكتابي : دراسة تقابلية مدرسة كادوقلي الثانوية بنات الصف الثالث أنموذجا,88,3,2008,1660,""
47,أثر العوامل الشخصية والبيئية في تعلم اللغة العربية لغير الناطقين بها,475,3,2006,1525,""
48,أثر الفروق الفردية علي النمو اللغوي عند الأطفال,1629,3,1997,1065,""
49,أثر الفروق الفردية علي تحصيل الطلاب في مادة اللغة العربية,1127,3,1993,901,""
50,أثر اللغة التركية في اللهجة العامية السودانية,366,3,2002,1329,""
51,أثر اللغة العربية على لغة المساليت : على مستوى الفعل,1336,3,2014,2200,""
52,أثر اللغة العربية علي اللغة الفارسية,432,3,1998,1085,""
53,أثر اللغة العربية علي لغة الدينكا : دراسة علي مستوي المفردات المقترضة,1034,3,1989,742,""
54,أثر اللغة العربية في اللغة الإندونيسية على مستوى المفردات : دراسة صوتيا وصرفيا ودلاليا,862,3,2012,2008,""
55,أثر اللغة العربية في اللغة السنداوية,2179,3,2000,1236,""
56,"أثر اللغة العربية في الملايوية "" فطاني "" علي مستوي المفردات",689,3,2002,1299,""
57,أثر اللغة الكوردية على تعلم اللغة العربية,520,3,2006,1527,""
58,أثر اللغة النوبية في لهجة الشايقية,1117,3,2007,1889,""
59,أثر اللغة علي بعض كلمات لغة كولانغو واستخدامها في تعليم اللغة العربية للناطقين بغيرها,1587,2,2010,1864,""
60,أثر الوسائل التعليمية في تعليم اللغة العربية لغير الناطقين بها,109,2,1985,408,""
61,أثر تعدد المناهج الدراسية علي شخصية الطالب في المدارس الثانوية العربية الأهلية في كينيا,1334,2,2001,1264,""
62,أثر تعدد المناهج علي طلاب المدارس الثانوية العربية في تشاد,906,3,2003,1356,""
63,أثر تعلم اللغة الإنجليزية في تحصيل تلاميذ الحلقة الأولي لمادة اللغة العربية مرحلة التعليم الأساسي : دراسة تجريبية وصفية,921,3,2006,1541,""
64,أثر حروف الزيادة في إثراء اللغة العربية,824,3,1989,741,""
65,أثر حفظ القرآن الكريم في تيسير تعليم اللغة العربية للناطقين بغيرها,254,2,2014,2162,""
66,أثر دراسة القرآن الكريم في تعلم الأصوات المتقاربة نطقا لدى الناطقين بغير العربية,2214,2,2014,2242,""
67,أثر رياض الأطفال في نمو المحصول اللفظي للطفل في محافظة الخرطوم,926,3,1982,166,""
68,أثر شخصية معلم اللغة العربية في تعليم العربية لغير الناطقين بها,1990,3,1986,540,""
69,أثر لغة الام في تعلم اللغة العربية للناطقين بلغة الزغاوة,1949,3,2014,2228,""
70,أثر لغة الدينكا علي اللغة العربية في منطقة الرنك,1575,3,1986,553,""
71,أثر معلم اللغة العربية في التحصيل الدراسي لدى تلاميذ مرحلة الأساس الحلقة الأولى بولاية غرب دار فور محلية الجنينة,1513,3,2009,1796,""
72,إجتماع الشرط والقسم وتدريسه لغير الناطقين بالعربية : دراسة إستقرائية لأنماط في القرآن الكريم,1686,2,2005,1496,""
73,الإحتجاج في النحو وعلم اللغة المعاصر,1563,3,1993,887,""
74,إحصاء المفردات العربية الواردة في الصحف الصومالية المعاصرة,770,3,1979,56,""
75,إحصاء مفردات وتراكيب العربية المستخدمة في لغة الإسلام للصف السادس والسابع والثامن بالمدارس الثانوية الباكستانية وإقتراح منهج للصف التاسع,742,3,1984,322,""
306,الافعال المعربة وتدريسها للناطقين بغيرها,237,3,2017,2372,""
76,"أحوال "" لا "" في سورتي البقرة وآل عمران : دراسة نحوية",658,3,1992,835,""
77,إختبار فهم المسموع للمبتدئين الناطقين بغير العربية,1718,3,1982,181,""
78,إختبار فهم المقروء في برامج تعليم اللغة العربية للناطقين بغيرها,918,3,2004,1413,""
79,الإختبارات الشهرية لمادة اللغة العربية للمرحلة الثانوية بمنطقة ولاية جنوب كردفان : المشكلات والحلول,869,3,2007,1613,""
80,إختبارات العناصر اللغوية : إعدادها وإجراؤها وتدريبها في برنامج تعليم اللغة العربية للناطقين بغيرها,323,2,2004,1416,""
81,الإختبارات المقننة في تعليم اللغة العربية لغير الناطقين بها,876,3,1997,1062,""
82,الإختبارات الموضوعية ومدى فعاليتها في تحقيق الأهداف التربوية لمادة القرآن الكريم,1534,3,2007,108,""
83,اختبارات مهارة الكلام : تصميمها وإجراؤها وأداؤها,2031,2,2005,1508,""
84,الإختبارات ودورها في التقويم المرحلي لأداء متعلم اللغة العربية بوصفها لغة أجنبية,1765,3,2009,1805,""
85,اختيار نصوص في القراءة الموسعة لتعليم اللغة العربية للناطقين بغيرها، من كتاب أسد الغابة لابن الأمير وتيسيرها وتحريها لتناسب المستوى المتقدم (المستوى الثالث),408,3,2012,2047,""
86,الاخطاء الاملائية لدى الطلاب النيجيريين بالمستوى الثاني في معهد اللغة العربية - جامعة افريقيا العالمية,1112,3,2014,2193,""
87,الأخطاء الإملائية وعلاقتها بتدخل اللغة الأم لدى طالبات معهد اللغة العربية بجامعة أفريقيا العالمية المستوى الثاني,973,3,2010,1923,""
88,الأخطاء التداخلية الشائعة في التعبير الكتابي لدي الطلاب الصوماليين,1323,3,2003,1371,""
89,الأخطاء التركيبية لدي طلاب القرن الإفريقي,1894,3,2000,1227,""
90,الأخطاء الشائعة في الإعلام : دراسة وصفية تحليلية للخبر في وسائل الإعلام السودانية 1999 - 2001,2244,3,2002,1333,""
91,الأخطاء الشائعة في خطوط دارسي اللغة العربية للناطقين بغيرها,845,3,1997,1049,""
92,الأخطاء العربية الشائعة في كتابات التلاميذ الأكراد في المرحلة الإبتدائية,1139,3,1979,87,""
93,الأخطاء اللغوية الشائعة في الاسلوب الصحفي المعاصر (الصحف الرياضية),459,3,2010,1908,""
94,الأخطاء اللغوية في التعبير التحريري لدي طلاب المستوي الثالث الثانوي في المدارس الثانوية العربية في سيراليون,350,3,2004,1396,""
95,الأخطاء اللغوية في الصحافة السودانية 1985 - 1996,340,3,1999,1153,""
96,الأخطاء اللغوية في تعلم أبناء سفي العربية,1691,3,1977,115,""
97,الأخطاء اللغوية لدى طلاب الصف الثاني الثانوي الولاية الشمالية مدينة دنقلا نموذجا,565,3,2017,2383,""
98,الأخطاء المنهجية عند النحاة العرب والمحاولات التي جرت لإصلاحها,1191,3,1978,83,""
99,أخطاء في لغة التلاميذ الفصحي بمنطقة كرمة البلد وتحليليها,1371,3,1976,93,""
100,الأداء اللغوي في مدارس النازحين بولاية الخرطوم,1358,2,1991,806,""
101,الأداء اللغوي في مدرسة كمبوني الثانوية للطلبة النازحين بولاية كردفان - الأبيض,1143,3,1992,847,""
102,"أداة التعريف "" ال "" وتدريسها لغير الناطقين باللغة العربية",1459,2,1986,495,""
103,الأدب الشعبي عند قبيلة تقلي : دراسة لغوية اجتماعية,2022,3,2012,2036,""
104,الأدب الشعبي ودلالاته اللغوية والإجتماعية - شعر البطانة انموذجا,2128,3,2011,1968,""
105,إدراك الأبناء لأساليب المعاملة الوالدية وعلاقته بالصحة النفسية لدى طلاب المرحلة الثانوية بمحلية الخرطوم بحري,255,3,2007,80,""
106,الإدغام في اللغة العربية وتدريسه لغير الناطقين بها,640,3,1988,661,""
107,أدلة النحو وعلم اللغة الحديث,1643,2,1991,823,""
108,أدوات التوكيد في اللغة العربية وتدريسها لغير الناطقين بها,1924,3,1998,1123,""
109,أدوات الجزم وتدريسها للناطقين بغير العربية,311,3,2005,1474,""
110,أدوات الربط العربية وتدريسها للناطقين بالأردية,620,3,1986,481,""
111,أدوات الربط في اللغة العربية وتدريسها للناطقين بغيرها من الإندونيسين,134,3,1997,1076,""
112,أدوات الشرط في اللغة العربية وعملها الإعرابي وتعليمها لغير الناطقين بالعربية,1815,2,1987,598,""
113,أدوات العطف وتدريسها للناطقين بغير العربية بالتطبيق على العشر الأخير من القرآن الكريم,1389,3,2017,2413,""
383,أوجه الإعراب في الفعل المضارع,1218,3,1986,544,""
114,الأدوات الناصبة للفعل المضارع في اللغة العربية وتعليمها للناطقين بغيرها,752,3,1991,815,""
115,أدوات النفي : دراسة تقابلية في اللغتين العربية والإنجليزية,1340,3,1982,174,""
116,أدوات النفي في العربية وعملها الإعرابي,1815,3,1986,558,""
117,أدوات النفي في اللغة العربية وتدريسها لغير الناطقين بها,1036,2,1997,1050,""
118,آراء النحاة في بعض قراءات القرآن الكريم,643,3,1991,814,""
119,الازدواجية اللغوية وأثرها في تجربة مدرسة تأهيل المعلمين الأميين باللغة العربية في كل المواد,1049,3,1983,246,""
120,"الإزدواجية اللغوية وأثرها في تعلم اللغة العربية "" مرحلة الأساس """,1710,3,2001,1273,""
121,الإزدواجية في اللغة العربية وأثرها في التحصيل اللغوي لدي الطلاب الإندونيسيين المقيمين في السودان ومصر,1028,2,1996,1003,""
122,أساسيات تعليم اللغة العربية للموظفين الشاديين المتعلمين باللغة الفرنسية,1138,3,1995,976,""
123,أساسيات في تصميم مناهج وإعداد برامج محو الأمية وتعليم الكبار في سلطنة عمان,1231,3,1988,719,""
124,اسالي تطوير مهارات القراءة الصامتة لمتعلمي اللغة العربية للناطقين بغيرها,1596,3,2014,2213,""
125,أساليب أدبية في لغة الملايو : دراسة وصفية تحليلية,693,3,1988,664,""
126,أساليب إستخدام الوسائل التعليمية في تعليم اللغة العربية للأطفال من سن السابعة إلي العاشرة,15,3,1987,564,""
127,أساليب الإشراف التربوي في مدارس اللاجئين الليبيريين في غينيا (المنطقة الغابية),49,3,2005,1454,""
128,أساليب الإشراف التربوي لمادة اللغة العربية في المدارس العربية الإسلامية بجمهورية تشاد,1708,3,2001,1272,""
129,أساليب الإشراف والتوجيه التربوي في المدارس الثانوية الفرنسية في جمهورية غينيا ما بين 1989 - 2002,1006,3,2003,1358,""
130,أساليب التربية في الأسرة وأثرها علي النمو اللغوي لطفل مرحلة الأساس بولاية الخرطوم,971,3,1999,1150,""
131,أساليب التقويم في تدريس اللغة العربية للأجانب,1819,3,1987,640,""
132,"الأساليب الطلبية بين الفصحي وبعض اللهجات المعاصرة "" الجزائرية والسودانية والسورية """,2139,3,1988,716,""
133,الأساليب الفعالة في تعليم اللغة العربية للناطقين بغيرها,1891,3,2012,2032,""
134,أساليب القصر في سورتي البقرة والأنعام : دراسة دلالية نحوية,228,3,1993,871,""
135,أساليب تدريس الإملاء للطلاب الإندونسيين في المرحلة المتوسطة,1529,3,2010,1862,""
136,أساليب تدريس الإملاء للطلاب الإندونيسيين في المرحلة المتوسطة,1529,3,2010,1892,""
137,أساليب تدريس القراءة العربية في معاهد إعداد المعلمين نظام الأربع سنوات في السودان,1064,3,1986,541,""
138,أساليب تدريس الكلام وما يتألف منه للناطقين بغير العربية - دراسة نحوية في ألفية ابن مالك,539,3,2013,2071,""
139,أساليب تدريس مهارة القراءة لتلاميذ الحلقة الثالثة بمرحلة الأساس,1608,2,2007,111,""
140,"أساليب تعليم أصوات اللغة العربية للناطقين بغيرها "" للناشئين """,1932,3,2003,1383,""
141,أساليب تعليم وظيفة الإتصال بالعربية للناطقين بغيرها (الدعاء نموذجا),14,3,2012,1983,""
142,أساليب تقديم النحو العربي للناطقين بغير العربية مستوي المبتدئين نموذجا,1103,1,2002,1309,""
143,أساليب تنمية مهارة الكتابة لدى تلاميذ الحلقة الثانية - محلية سنكات - ولاية البحر الأحمر الصف الخامس - السادس,1126,3,2011,1980,""
144,أسباب الضعف الإملائي لدى التلاميذ النازحين ولاية القضارف - مرحلة الأساس,708,3,2006,1533,""
145,أسباب تدني مستوى تلاميذ الحلقة الثانية الصف الخامس في اللغة العربية,2030,2,2010,1874,""
146,أسباب رسوب طلاب المدارس الثانوية في مادة اللغة العربية بالسودان,260,2,1990,770,""
147,أسباب ضعف التعبير الكتابي بالمدارس الثانوية بولاية الخرطوم,1084,3,1993,899,""
148,أسباب ضعف التعبير الكتابي في مدارس التداخل اللغوي - ولاية جنوب دارفور مدارس محلية الوحدة نموذجا,913,3,2013,2084,""
149,أسباب ضعف التعبير الكتابي لدى طلبة مركز تعليم اللغة بجامعة جالا الإسلامية,1349,3,2009,1789,""
150,أسباب ضعف الخط العربي في الوقت الحاضر بمرحلة الأساس - الحلقة الثانية ولاية جنوب كردفان محلية الدلنج,1518,3,2009,1798,"95 ص"
151,أسباب ضعف العبير التحريري لدى طلاب المرحلة الثانوية - محلية مليط - ولاية شمال دارفور,1224,2,2010,1856,""
152,اسباب ضعف القراءة لدى تلاميذ مرحلة الأساس - الحلقة الثانية - ولاية الخرطوم محلية ام بدة - وحدة السلام نموذجا,2147,3,2013,2142,""
153,أسباب ضعف اللغة العربية وطرق علاجها في المرحلة الثانوية : دراسة تطبيقية على معهد عثمان بن عفان الإسلامي بنكلاما إيغانغا يوغندا,2143,2,2011,1969,""
154,أسباب ضعف مستوى تلاميذ مرحلة الأساس في اللغة العربية - ولاية كسلا,271,3,2009,1751,""
155,أسباب ضعف مهارة التعبير الشفهي في اللغة العربية لدى تلاميذ مدارس الجالية الاثيوبية بالسودان,1408,3,2012,2020,""
156,الإستثناء في اللغة العربية وتدريسه لغير الناطقين بها,1842,3,1987,599,""
157,"إستخدام "" أن "" المتعدد في اللغة العربية وتدريسها للناطقين بغيرها",131,3,1989,728,""
158,"إستخدام "" ما "" في اللغة العربية وتدريسها للناطقين بغيرها",312,3,1990,777,""
159,استخدام أسلوب المدح والزم في اللغة العربية وتدريسه للناطقين بغيرها : دراسة تطبيقية علي كتاب العلم في صحيح البخاري,1472,2,2005,1491,""
160,إستخدام أسلوب النظم في تصميم الكتاب المدرسي للغة العربية - الصف السابع مرحلة الأساس,786,2,,93,""
161,إستخدام أسلوب النظم في تصميم وإنتاج الحقيبة التعليمية (أنموذج لخط عربي),1588,3,2007,110,""
162,إستخدام الإختبارات التكاملية في مجال تعليم اللغة العربية للناطقين بغيرها,2178,3,2009,1820,""
163,"إستخدام الإختبارات الموضوعية في قياس مهارات الإستيعاب ولاية الجزيرة - محلية شرق النيل "" مدرسة الفارابى المخطلته للأساس """,1021,3,2002,1307,""
164,إستخدام الإختبارات الموضوعية في قياس مهارات اللغة العربية,977,3,2006,1543,""
165,إستخدام الألعاب اللغوية في تعليم اللغة العربية كلغة أجنبية,1120,3,1989,744,""
166,الإستخدام الأمثل للوسيلة التعليمية في تعليم اللغة العربية في مرحلة الأساس,1237,3,1995,974,""
167,إستخدام البرامج التفاعلية في تعليم اللغة العربية للناطقين بغيرها,1956,3,2009,1739,""
168,إستخدام التدريبات النمطية في تعليم النحو العربي للمبتدئين الناطقين بغير اللغة العربية,773,3,2006,1534,""
169,استخدام التصميم التعليمي في برامج تعليم اللغة العربية للناطقين بغيرها - معهد اللغة العربية بجامعة السودان المفتوحة نموذجا,335,3,2014,2191,""
170,إستخدام التقنيات التربوية في تدريس اللغة العربية في المدارس الإبتدائية السودانية في مناطق التداخل اللغوي في العاصمة القومية,1314,3,1988,673,""
171,إستخدام الحرف العربي المنمط في محو الأمية بالنيجر والنتائج المتوقعة منه,406,3,2002,1292,""
172,إستخدام الرسم في تعليم العربية لغير الناطقين بها,1614,2,1983,262,""
173,استخدام السبورة التفاعلية في تعليم اللغة العربية للناطقين بغيرها بالتطبيق على جامعة السودان المفتوحة,2081,3,2017,2445,""
174,إستخدام الصورة في تعليم اللغة العربية لتلاميذ الصف الأول لمرحلة الأساس بولاية الخرطوم محلية العيلفون,487,3,2002,1294,""
175,استخدام الطريقة التكاملية في تعليم اللغة العربية للناطقين بغيرها ( المستوى المبتدئ),194,3,2013,2062,""
176,إستخدام الفيلم في تعليم اللغة العربية,24,3,1988,724,""
177,استخدام القصص القرآني في تنمية مهارة القراءة للناطقين بغير العربية,1188,3,2014,2195,""
178,إستخدام اللغة العربية الفصحى في تدريس المواد الدراسية وأثره في تنمية قدرات التلاميذ اللغوية : دراسة تطبيقية بمنطقة كسلا (مدارس الحلنقة),1347,2,2008,1706,""
179,إستخدام المفردات العربية في لغة ماندنكو في تأليف النصوص التعليمية,1474,3,2002,1317,""
180,استخدام النصوص القرائية في تعليم مهارة القراءة للطلاب غير الناطقين بالعربية بالمستوى المتقدم ( الخطب الإسلامية أنموذجا ),1692,3,2007,1642,""
181,إستخدام الوسائط التعليمية في الشعر العربي للمتقدمين من غير الناطقين بالعربية,587,3,2009,1762,""
182,"إستخدام الوسائل التعليمية غير المعروضة بجهاز تدريس اللغة العربية لغير الناطقين بها "" جنوب السودان """,2045,2,1985,461,""
183,إستخدام الوسائل التعليمية في تعليم اللغة العربية في الصومال,1469,3,1988,708,""
184,إستخدام الوسائل التعليمية لتعليم اللغة العربية علي مستوي المدارس المتوسطة في الباكستان,609,2,1986,531,""
185,إستخدام تقنية التغذية الراجعة في تعليم العربية للناطقين بغيرها,1322,3,1996,1006,""
1263,دراسة في مدائح الشيخ الصابونابي تحليلية لغوية,751,3,2001,1252,""
186,استخدام جهاز الحاسوب في تدريس مهارة الاستماع للناطقين بغير العربية في المدارس الثانوية في ولاية برنو بنيجريا,1434,2,2012,2023,""
187,استخدام طريقة الوحدات وأثرها في تعليم اللغة العربية للناطقين بغيرها - المستوى المتقدم,907,3,2017,2397,""
188,إستخدام علم اللغة التطبيقي في تعليم اللغة العربية لغير الناطقين بها,577,3,1998,1094,""
189,إستخدام غريب القرآن في تعليم العربية,339,3,2000,1203,""
190,إستخدام قصص الأنبياء لتطوير مهارة القراءة الصامتة مستصحبا بتدريبات لغوية,452,2,2004,1405,""
191,إستخدام مبادئ المدرسة السلوكية في تعليم اللغة للأجانب,1247,3,1985,437,""
192,استخدام معمل اللغة العربية في تنمية مهارة القراءة في مجال تعليم اللغة العربية للناطقين بغيرها,865,3,2015,2365,""
193,إستخدام منحى النظم في تصميم التعليم : دراسة تحليلية بمرحلة الأساس بكادوقلي,28,3,2006,1515,""
194,إستخدام منهج النشاط في تدريس اللغة العربية لغير الناطقين بها,1398,3,1983,254,""
195,إستراتيجات نشر اللغة العربية في ظل العولمة وصراع الحضارات,768,3,2002,1302,""
196,إستراتيجيات التعلم المستخدمة لدي طلاب قسم اللغة العربية للناطقين بغيرها كلية اللغات - جامعة السودان,1225,2,2002,1310,""
197,إستراتيجيات التعلم وتبطيقاتها في تعلم اللغة العربية لغير الناطقين بها,1722,3,2001,1274,""
198,إستراتيجيات تدريس في التعبير التحريري في اللغة العربية للناطقين بيغريها المستوى الأساسي,1000,3,2017,2398,""
199,إستراتيجية النشاط غير الصفي في تعليم اللغة العربية للناطقين بغيرها,1920,3,2017,2428,""
200,الإستعارة وتطبيقاتها من العامية السودانية,1500,3,1991,822,""
201,الإستعارة وجهة نظر لسانية,654,3,1988,700,""
202,إستعمال الفعل في التعبير عن الزمن في اللغتين العربية والإنجليزية,1464,2,1982,176,""
203,الإستفادة من الإتجاهات التربوية الحديثة في تدريس النحو للمبتدئين في الفترة التمهيدية بقسم اللغة العربية في كلية اللغات في الجامعة الوطنية الصومالية,1001,3,1990,779,""
204,الاستفادة من التركيب الصوتي لمعجم العين في تعليم اللغة العربية لتلاميذ مرحلة الاساس الحلقة الاولى - الصف الاول : دراسة وصفية تحليلية,1977,3,2013,2131,""
205,الإستفادة من مادة التربية الإسلامية وأهمية تدريسها لمتعلمي اللغة العربية الناطقين بغيرها في المدارس الثانوية بمنطقة قارسا - كينيا,224,2,2010,1835,""
206,إستيفاء شروط الإخبار الجيد في الاختبار التجريبي لمادة اللغة العربية,1061,2,2010,1852,""
207,الأسس العلمية لإختيار المادة القرائية لمتوسطي المستوي من غير الناطقين باللغة العربية,1243,3,1984,295,""
208,الأسس العلمية لاختيار طرائق تدريس اللغة العربية للناطقين بغيرها,1527,3,2017,2415,""
209,الأسس النفسية التربوية لتعليم اللغة العربية للصغار من غير الناطقين بها,2101,2,1984,355,""
210,الأسس النفسية لتعلم مهارة القراءة (لتلاميذ الصف الثامن بمدارس مرحلة الأساس - محلية الخرطوم وسط),931,3,2008,1694,""
211,الأسس النفسية لتعليم العربية للكبار من غير الناطقين بها,2016,3,1983,223,""
212,الأسس النفسية لتعليم اللغة العربية,1315,3,1992,858,""
213,الأسس النفسية والتربوية للقراءة,266,3,1984,317,""
214,أسس بناء منهج لتعليم اللغة العربية للنساء السودانيات الأًمَيات,279,3,1999,1178,""
215,أسس تعليم اللغة العربية للناطقين بغيرها للمبتدئين الصغار,2138,3,1996,1020,""
216,أسس وتأليف النصوص - نظري - تطبيقي ، للمستوي المتوسط,696,3,1997,1038,""
217,أسس ومعايير تصميم منهج مقترح لتعليم اللغة العربية في المدارس العربية الفرنسية في النيجر (مرحلة الأساس),1274,3,2008,1703,""
218,أسلوب الإستعارة وتدريسه للناطقين بغير العربية,23,3,2005,1453,""
219,أسلوب الإستفهام في اللغة العربية وتدريسه لغير الناطقين بها,1905,3,1987,644,""
220,أسلوب الإنشاء الطلبي وتدريسه للناطقين بغير العربية,345,3,2000,1205,""
221,الأسلوب التربوي لتعليم العربية لغير الناطقين بها,527,3,1978,39,""
222,أسلوب التفضيل في اللغة العربية وتدريسه للناطقين بغيرها,2140,3,2006,1578,""
223,الأسلوب الخبري وتدريسه لغير الناطقين بالعربية,945,3,1998,1100,""
224,أسلوب الخطاب الإجتماعي في بعض الصحف السودانية,1535,3,1985,385,""
225,أسلوب الشرط في اللغة العربية وتعليمه للناطقين بغيرها,1295,2,1985,438,""
226,أسلوب النفي بين اللغة العربية الفصحي واللهجة الجزائرية,2139,2,1987,646,""
227,أسلوب تعليم القرآن والإستفادة منه في تعليم اللغة العربية في ماليزيا,1657,2,1983,214,""
228,الإسم في اللغة العربية واللغة الفارسية : دراسة تقابلية,502,3,2001,1247,""
229,أسماء الإشارة في اللغة العربية وتدريسها للناطقين بغيرها,1178,3,1985,377,""
230,أسماء الإشارة من العربية الفصحي إلى العامية السودانية : دراسة صوتية ونحوية,1309,3,1980,90,""
231,أسماء الإشارة والأسماء الموصولة في اللغة العربية وتعليمها للناطقين بغير العربية,692,3,1987,577,""
232,أسماء الرجال والنساء في شمال دار فور ودلالاتها اللغوية والإجتماعية,218,3,2005,1459,""
233,أسماء الرسول صلي الله عليه وسلم : دراسة في البنية والدلالة,653,2,1999,1141,""
234,الأسماء العاملة عمل الفعل في اللغة العربية وطرق تدريسها للناطقين بغيرها,1294,3,1997,1045,""
