"id","first_name","second_name","third_name","fourth_name","alternative_name","title"
69,أبو بكر,عبد الله,علي,شعيب,"",
70,أبو بكر,علي,نافع,"","",
71,أبو بكر,محمد,علي,ساكو,"",
72,أبو بكر,محمد,كوناتي,"","",
73,أبو بكر,هويدي,"","","",
74,أبو عبيدة,حسن,محمد,عكاشة,"",
75,أبو غيشة,"","","","",
76,أبو نعمان,محمد,عبد المنان,خان,"",
77,أبوبكر,بكر,أحمد,على,"",
78,أبوبكر,بلي,كبيا,"","",
79,أبوبكر,مامادو,إدريس,"","",
80,أبوبكر,محمد,زكر,"","",
81,أبوقو,لاسوبا,أباتي,"","",
82,أبوه,ولد محمد,ولد بلبلاه,"","",
83,إبيزا,جيرفي,بكري,"","",
84,إحتفال,حسن,أحمد,"","",
85,إحسان,تيراب,تبن,"","",
86,إحسان,حسين,يحيى,"","",
87,إحسان,عبد الماجد,محمد,حمد,"",
88,إحسان,كوكو,تيه,"","",
89,أحلام,دفع الله,محمد,علي,"",
90,أحمد,إبراهيم,أحمد,"","",
91,أحمد,إبراهيم,أحمد,عثمان,"",
92,أحمد,أبوبكر,"","","",
93,أحمد,أبوبكر,حسن,"","",
94,أحمد,أبوبكر,وشيشى,"","",
95,أحمد,إدريس,آدم,أحمد,"",
96,أحمد,آدم,حمدان,أبو البشر,"",
97,أحمد,اسماكون,محمد,الياس,"",
98,أحمد,التجاني,عثمان,"","",
99,أحمد,التجاني,كرم الدين,"","",
100,أحمد,الحاج,عمر,فضل الله,"",
101,أحمد,الحسن,سمساعة,"","",
102,أحمد,الزبان,عمر,بريمة,"",
103,أحمد,الشيخ,أحمد,النور,"",
104,أحمد,الطيب,علي,خالد,"",
105,أحمد,الطيب,محمد,عبد الكريم,"",
106,أحمد,العوض,حسن,الجزولي,"",
107,أحمد,أوزركان,"","","",
108,أحمد,بابكر,محمد,بابكر,"",
109,أحمد,بحر,الراوي,"","",
110,أحمد,بشري,عبد الصمد,سالي,"",
111,أحمد,بين,آدم,"","",
112,أحمد,تايا,"","","",
113,أحمد,تجاني,رمضان,"","",
114,أحمد,ترمذي,بن أشعري,"","",
115,أحمد,جروز,طاهر,"","",
116,أحمد,جو,"","","",
117,أحمد,جوب,"","","",
118,أحمد,حامد,عمر,أوشيك,"",
119,أحمد,حسن,الحليسي,"","",
120,أحمد,حسن,محمد,خير,"",
121,أحمد,حسين,أحمد,حبيب,"",
122,أحمد,حسين,ميجية,"","",
123,أحمد,حماد,عيسى,بلة,"",
124,أحمد,حنفي,بن محمد,علي,"",
125,أحمد,خليف,حسن,"","",
126,أحمد,داودية,"","","",
127,أحمد,زاهر,سيف,الطيواني,"",
128,أحمد,زهرا,"","","",
129,أحمد,ساتي,أنور,"","",
130,أحمد,سالم,عبد الله,الضريبي,"",
131,أحمد,سر الختم,أحمد,"","",
132,أحمد,سعيد,محمد,مهيب,"",
133,أحمد,سليمان,عرابي,"","",
134,أحمد,سهري,بوناوان,"","",
135,أحمد,سيزالي,إبراهيم,"","",
136,أحمد,سيوطي,أنصاري,ناسوئيون,"",
137,أحمد,شاة,"","","",
138,أحمد,شارنى,جالو,"","",
139,أحمد,شجاع,أمبابانزا,"","",
140,أحمد,شريف,طاهر,إبراهيم,"",
141,أحمد,شريف,محمد,"","",
142,أحمد,شهاب الدين,"","","",
143,أحمد,شيخ,حسن,أحمد,"",
144,أحمد,شيخ,عبي,"","",
145,أحمد,صالح,أمان,"","",
146,أحمد,صالح,مدني,"","",
147,أحمد,صديق,أحمد,ضاوي,"",
148,أحمد,صيبري,"","","",
149,أحمد,طه,عبد المشهداني,"","",
150,أحمد,عباس,أحمد,"","",
151,أحمد,عباس,محمد,زين,"",
152,أحمد,عبد الرحمن,سماعين,"","",
153,أحمد,عبد الله,أحمد,المصطفي,"",
154,أحمد,عبد الله,البشير,"","",
155,أحمد,عبد الله,حمّاد,"","",
156,أحمد,عبد الله,محمد,"","",
157,أحمد,عبد الوهاب,الشعراني,"","",
158,أحمد,عبده,مكرد,عزعزي,"",
159,أحمد,عثمان,أحمد,علي,"",
160,أحمد,عطية,ضيف الله,السعودي,"",
161,أحمد,على,احمد,يسن,"",
162,أحمد,علي,أحمد,عيساوي,"",
163,أحمد,علي,الإمام,"","",
164,أحمد,علي,خوجال,"","",
165,أحمد,علي,سعيد,محمد,"",
166,أحمد,علي,مالم,"","",
167,أحمد,عمر,التجاني,"","",
168,أحمد,عمر,الحسن,"","",
169,أحمد,فارج,موسي,"","",
170,أحمد,فضل الله,إحيمر,"","",
171,أحمد,فوزي,"","","",
172,كيم,سونغ,أون,"",أحمد,
173,أحمد,لقمان,أحمد,"","",
174,أحمد,لوح,"","","",
175,أحمد,محفوظ,عبد القادر,"","",
176,أحمد,محمد,أحمد,أبكر,"",
177,أحمد,محمد,أحمد,درو,"",
178,أحمد,محمد,أوهاج,"","",
179,أحمد,محمد,بابكر,"","",
180,أحمد,محمد,داوية,"","",
181,أحمد,محمد,زقلو,"","",
182,أحمد,محمد,عبد الرحمن,"","",
183,أحمد,محمد,محمد,غايا,"",
184,أحمد,محمد,موسي,"","",
185,أحمد,مرادي,سائمان,"","",
186,أحمد,معو,أحمد,عثمان,"",
187,أحمد,مفتاح الدين,بن فوزان,"","",
188,أحمد,نصر,بادريس,اللبيح,"",
189,أحمد,نواف,الرهباني,"","",
190,أحمد,نور,شيخ,محمد,"",
191,أحمد,هادي,جمال الدين,"","",
192,أحمد,يني,بن إمام,صباري,"",
193,أحمدو,ولد محمدو,ولد بدو,"","",
194,إخلاص,أحمد,فرج الله,على,"",
195,إخلاص,أحمد,مختار,"","",
196,إخلاص,عبد اللطيف,علي,الدول,"",
197,إخلاص,كمال,الطاهر,"","",
198,إخلاص,مصطفي,سليمان,"","",
199,إخلاص,هارون,إبراهيم,أبكر,"",
200,آدت,سمان,شيخ,"","",
201,إدريس,إدريس,جبريل,"","",
202,إدريس,بابكر,إدريس,الفحل,"",
203,إدريس,حبيب,لومابي,"","",
204,إدريس,علي,جمعة,"","",
205,آدم,إبراهيم,أحمد,"","",
206,آدم,أحمد,إسحاق,عبد الله,"",
207,آدم,احمد,اصيل,"","",
208,آدم,إدريس,ضحية,إبراهيم,"",
209,آدم,أيوب,بشير,"","",
210,آدم,بكر,صالح,"","",
211,آدم,زكريا,جمعة,اميازيرا,"",
212,آدم,طه,حسين,"","",
213,آدم,عبد السلام,"","","",
214,أدم,عبد الله,أبو أبكر,يحيى,"",
215,آدم,عبد الله,عثمان,"","",
216,آدم,عثمان,أبكر,"","",
217,أدم,عطية,عبد الله,"","",
218,آدم,عيسي,النور,"","",
219,أدم,فرح,النور,عيسى,"",
220,آدم,محمد,إبراهيم,"","",
221,آدم,محمد,جبريل,"","",
222,آدم,محمد,عقال,"","",
223,آدم,محمد,علي,"","",
224,آدم,محمد,موسى,"","",
225,آدم,محمد,موسى,فخر الدين,"",
226,آدم,معلم,محمد,حسن,"",
227,أدموند,نظمي,رشدي,"","",
228,أديب,عثمان,سعد,محمد,"",
229,إراهيموف,سعيدولي,"","","",
230,أرما,مرتيا,سوبني,"","",
231,أرمان,حسني,"","","",
232,أريانج,اليانج,أدوكيانج,"","",
233,أريج,عباس,أحمد,الحاج,"",
234,آريس,موناندار,"","","",
235,أريك,اشيل,عمر انكو,الياوندي,"",
236,أزهر,أمين,زين,"","",
237,أزهرية,أحمد,محمد,"","",
238,أسامة,المبروك,حسن,بابكر,"",
239,أسامة,بن محمد,طاهر,سحاري,"",
240,إسحاق,إبراهيم,أولايورلا,"","",
241,إسحاق,أبوبكر,"","","",
242,إسحاق,سالم,موايا,"","",
243,إسحاق,كيتا,"","","",
244,إسحاق,محمد,الأمين,"","",
245,إسراء,أبوهريرة,إبراهيم,محمح,"",
246,إسراء,الحاج,حسن,"","",
247,إسراء,علي,محمد,موسى,"",
248,إسلام,صلاح,إسماعيل,"","",
249,إسلام,عباس,مصطفى,العقلي,"",
250,أسلي,محمد,حسن,"","",
251,أسماء,أبوبكر,محمد,"","",
252,أسماء,حسن,جامع,"","",
253,أسماء,على,محمد الحسن,حمدالله,"",
254,أسماء,محمد,صالح,ادريس,"",
255,أسماء,مصطفى,الصادق,"","",
256,إسماعي,شي,ما,"","",
257,إسماعيل,أحمد,محمد,"","",
258,إسماعيل,النور,السنوسي,"","",
259,إسماعيل,بحرالدين,"","","",
260,إسماعيل,خميس,رحمة,"","",
261,إسماعيل,عبد الملك,أتوندوي,"","",
262,إسماعيل,عمر,محمد,"","",
263,إسماعيل,محمد,أحمد,عيساوي,"",
264,أسمهان,حسن,محجوب,"","",
265,أسميا,هرمين,كارول,"","",
266,آسيا,محمد,توم,الطاهر,"",
267,إشراقة,بله,عمر,الفكي,"",
268,إشراقة,حسين,الشيخ,الطاهر,"",
269,إشراقة,عبد الله,أحمد,أبو الروس,"",
270,أشعري,كمال الدين,الحاج,يتيم,"",
271,أشواق,دياب,محمد,المصطفى,"",
272,أشواق,عوض,حامد,"","",
273,إعتماد,خضر,دفع الله,البشير,"",
274,أعظم,حلاديني,"","","",
275,أغوس,سوفريانتا,"","","",
276,أفريجون,أفندي,بن عبد المالك,"","",
277,أفلح,حنيفة,"","","",
278,إقبال,إبراهيم,محمد,سليمان,"",
279,إقبال,أبو جبر,"","","",
280,إقبال,أحمد,الشيخ,"","",
281,إقبال,إسماعيل,عبد الله,محمد خير,"",
282,إقبال,عبد الهادي,اللازم,"","",
283,إقبال,عبيد,محمد,علي,"",
284,إقبال,عوض,محمد,عبد الله,"",
285,إكرابي,كران,"","","",
286,أكندو,سفيان,"","","",
287,الإمام,عبد الباقي,الإمام,محمد زين,"",
288,الإمام,محمد,علي,محمد زين,"",
289,الأمين,الحاج,الأمين,الجنيد,"",
290,الأمين,صالح,ناصر,"","",
291,الأمين,عبد الكريم,سليمان,عبد الله,"",
292,الأمين,عبد الله,عبد السلام,"","",
293,الأمين,علي,أحمد,"","",
294,الأمين,علي,أمور,"","",
295,الأمين,محمد,أحمد,أبشر,"",
296,الأنور,خضر,عثمان,"","",
297,البدري,محمد,علي,قرشي,"",
298,البشير,احمد,شمبال,"","",
299,التجاني,محمد,إمام,"","",
300,الجزولي,الأمين,الريح,"","",
301,الجيلي,علي,العبيد,"","",
302,الحاج,إبراهيم,هارون,"","",
303,الحاج,فضل,الهادي,ملك,"",
304,الحاج,محمد,رشادي,المكي,"",
305,الحاج,نصر الله,غزالي,"","",
306,الحسن,بن الحسين,ناجد,"","",
307,الحسين,الخزينة,عبد الرحمن,"","",
308,الخير,محمد,العبيد,بشير,"",
309,الدجلمي,عمر,"","","",
310,الرشيد,أبو عاقلة,دفع الله,"","",
311,الرشيد,حسن,علي,حمد,"",
312,الرشيد,يوسف,محمد,"","",
313,الزبير,سليمان,فضل السيد,احمد,"",
314,الزهور,حسن,الماهل,"","",
315,السر,أحمد,محمد,يوسف,"",
316,السماني,محمد,موسى,محمد,"",
317,السيد,عوض الكريم,محمد,الدوش,"",
318,السيد,قياضي,أحمد,الندوي,"",
319,السيد,محمد,التيجاني,"","",
320,السيد,مكي,البشير,علي,"",
321,السيدة,أحمد,محمد أحمد,المنصور,"",
322,السيوطي,إبراهيم,محمد,"","",
323,الشافعى,علي,أحمد,الأمين,"",
324,الشريف,حسب الرسول,تله,محمد,"",
325,الشيخ,التجاني,سيسي,"","",
326,الشيخ,الحاج,أحمد,الرفاعي,"",
327,الشيخ,بن أحمد,"","","",
328,الشيخ,فتح الرحمن,"","","",
329,الشيخ,محمد,علي,"","",
330,الصادق,آدم,أبوه,حسب النبي,"",
331,الصادق,الصديق,الأمين,"","",
332,الصادق,عرم,عبد الرحمن,بخيت,"",
333,الصافي,محمد,العوض,محمد,"",
334,الصديق,آدم,بركات,آدم,"",
335,الصديق,حسن,بشير,ادم,"",
336,الصديق,محمد,ميرعني,"","",
337,الصديق,يوسف,بلال,عمر,"",
338,الضو,النور,محمد,"","",
339,الضو,عوض الكريم,علي,"","",
340,الطاهر,الطيب,الطاهر,"","",
341,الطاهر,محمد,أحمد,حامد,"",
342,الطاهر,محمد,عبد العزيز,"","",
343,الطاهر,محمد,يسن,"","",
344,الطيب,إبراهيم,بانقا,"","",
345,الطيب,إبراهيم,محمد,الحسن,"",
346,الطيب,البشير,الطيب,"","",
347,الطيب,الهميم,محمد,عبيد,"",
348,الطيب,سيد,التوم,"","",
349,الطيب,محمد,أحمد,البادي,"",
350,ألفا,فوفانا,بن عثمان,"","",
351,الفاتح,أحمد,الأمير,"","",
352,الفاضل,أحمد,محمد,الحسين,"",
353,الفاضل,عبد الرازق,عبد الله,"","",
354,الفاضل,فضل,أحمد,زاكي,"",
355,الفاضل,يعقوب,جديد,"","",
356,الفايو,فيليب,لاكوجاد,"","",
357,القنديل,مختار,النور,"","",
358,المبارك,الصديق,سعيد,"","",
359,المهدي,أحمد,عبد الماجد,"","",
360,المهدي,الحاج,عبد المحمود,"","",
361,المهدي,عوض,السيد,أحمد,"",
362,الناجي,عبد الله,الضو,على,"",
363,النج,بن محمد,فال,"","",
364,النخل,أحمد,الشيخ,محمد,"",
365,النذير,محمد,أحمد,البادي,"",
366,النعيم,التوم,محمد,أحمد,"",
367,النور,آدم,إسحاق,"","",
368,النور,بقاري,بالك,الدرم,"",
369,الهادي,الأمين,عباس,"","",
370,إلهام,إبراهيم,محمد,عبد الله,"",
371,إلهام,عبد العاطي,محمد,خير,"",
372,الوليد,الحاج,حسين,"","",
373,الونجا,عثمان,هارون,"","",
374,ألونجا,عثمان,هارون,"","",
375,الياس,علي,أبوبكر,"","",
376,أم الحسن,إبراهيم,بخيت,"","",
377,أم بشائر,آدم,عبد الله,"","",
378,أم سر,أحمد,حامد,التاج,"",
379,أم سلمى,محمد,علي,الملك,"",
380,أم كلثوم,الطيب,"","","",
381,أمادو,سالي,أمين,"","",
382,آمال,الخضر,إبراهيم,"","",
383,آمال,الطريفي,محمد,"","",
384,آمال,الوسيلة,سليمان,الوسيلة موسى,"",
385,آمال,عبد القادر,محمد,"","",
386,آمال,محمد,النور,الوالي,"",
387,آمال,محمد,عبد الماجد,"","",
388,آمال,موسي,عباس,الإمام,"",
389,آمال,يوسف,السيمت,"","",
390,إمام,آدم,إبراهيم,"","",
391,إمام,حنفي,بن شمس,العارفين,"",
392,إمام,غزالي,سعيد,"","",
393,إمام,محمد,عبد الرحيم,"","",
394,اٍمام,محمد,عبد الرحيم,"","",
395,إمانويل,أفيو,لوك,بنوك,"",
396,أماني,الصادق,محمد,كرار,"",
397,أماني,عثمان,عابدون,عثمان,"",
398,أماني,عثمان,عبد الله,إبراهيم,"",
399,أماني,علي,محمد,الحسن,"",
400,أماني,محمد,أحمد محمد,حسن,"",
401,أماني,محمد,الحاج,محمد,"",
402,أمباى,لو,"","","",
403,امبمبا,سومة,"","","",
404,أمة المجيد منيرة,"","","","",
405,إمتثال,الطيب,عبد الرحمن,"","",
406,أمدو,الأمين,"","","",
407,أمل,أحمد,محمود,"","",
408,أمل,آدم,محمد,حرين,"",
409,أمل,الباقر,الطيب,الصديق,"",
410,أمل,عبد العاطي,عبد الفراج,"","",
411,أمل,مبارك,إبراهيم,محمد,"",
412,أمل,يوسف,المهدي,"","",
413,آمنة,الجميل,علي,"","",
414,آمنة,المرضي,أحمد,فضل الله,"",
415,آمنة,بشرى,مدو,مصطفي,"",
416,آمنة,حسين,الشريف,محمد,"",
417,آمنة,صالح,آدم,مرجان,"",
418,آمنة,عبد الرزاق,العتباني,"","",
419,آمنة,علي,أبوبكر,"","",
420,أمير,إبراهيم,نورين,"","",
421,أمير الدين,بن دهار,"","","",
422,أميرة,النور,عبد الله,داؤود,"",
423,أميرة,أمين,مصطفى,عرزون,"",
424,تشوي,جونغ,سون,"",أميرة,
425,أميرة,طه,يعقوب,"","",
426,أميمة,دفع الله,أحمد,"","",
427,أميمة,عثمان,سيد,أحمد,"",
428,أميمة,محمد,حامد,محمد,"",
429,أمين,أبوبكر,السمراوي,"","",
430,أمين,إسحاق,آدم,"","",
431,أمين الدين,إحسان,"","","",
432,أمين,حسن,رحماني,"","",
433,أمين,عوض السيد,محمد,آدم,"",
434,كيم,نينغ,أو,أمين,"",
435,إنتصار,حسن,محمد حسن,بدري,"",
436,إنتصار,محمد,حمزة,أحمد,"",
437,إنتصار,يونس,إدريس,أحمد,"",
438,إنشراح,عجيب,السيد,عجيب,"",
439,إنصاف,يوسف,إدريس,"","",
440,إنعام,الفاضل,محمد,علي,"",
441,إنعام,عبد الرحمن,البشير,"","",
442,أنعام,عبد السلام,"","","",
443,انهار,سلطان,الاندونيسي,"","",
444,أودين,زين الدين,"","","",
445,أول,أبوبكر,سليمان,"","",
446,أومان,كرباء,شهداء,"","",
447,أونور,سيدي,محمد,"","",
448,آيات,عبد الغفار,حسن,"","",
449,أيان,الشيخ,عبد الله,الشيخ محمد,"",
450,أيان,محمد,علي,"","",
451,آية الله,حامي الدين,عبد الصمد,"","",
452,إيدرا,محمد,عيسي,"","",
453,إيمان,أحمد,عثمان,"","",
454,إيمان,النور,ادريس,"","",
455,إيمان,تاج الدين,الجيلاني,"","",
456,إيمان,عوض الله,محمد,الحاج,"",
457,إيمان,محمد,الحسن,محمد الفكي,"",
458,إيمان,محمد,الطيب,"","",
459,ايمن,عمر,خضر,محجوب,"",
460,إيناس,حسن,أحمد,جادين,"",
461,إيهاب,على,سليمان,على,"",
462,أيوب,طاهر,سيكنو,"","",
463,أيوب,علي,قاسم,"","",
464,بابا,آدم,سي,"","",
465,بابكر,محمد,بابكر,"","",
466,بابكر,يوسف,أحمد,"","",
467,بابكر,يوسف,عبد الله,"","",
468,بابن,غدانئيا,"","","",
469,باميانج,إراوات,"","","",
470,بانقا,محمد,إدريس,بانقا,"",
471,بانيا,ناوونج,"","","",
472,بتول,طيفور,محمد,شريف,"",
473,بتول,عوض الكريم,عمر,أدم,"",
474,بثينة,خضر,محمد,سيد أحمد,"",
475,بثينة,عبد السلام,أحمد,الجزولي,"",
476,بحروم,بن أمير,"","","",
477,بحري,رشيد,"","","",
478,بخيت,حسين,خليل,"","",
479,بخيتة,حسن,ناصر,"","",
480,بخيتة,حسن,نور الدائم,"","",
481,بدر الزمان,بن عبد الله,"","","",
482,بدر الزمان,عمر,يونس,"","",
483,بدر الدين,يوسف,محمود,محمد,"",
484,بدرية,صالح,محمد,صالح,"",
485,بدرية,عبد الدائم,الحسن,"","",
486,بدرية,ماسيغ,"","","",
487,بدرية,محمد,عبد الرحمن,"","",
488,بدرية,مصطفى,محمد,أحمد,"",
489,بدرية,ميرغني,محمد,"","",
490,بدور,بخيت,العاقب,عبد الله,"",
491,بدور,يوسف,سيد أحمد,قريش,"",
492,بدوي,محمد,الأمين,قنجاري,"",
493,براسيرت,بان,بري,"","",
494,برق,السهل,دليل,علوي,"",
495,بركة,الأمين,بركة,"","",
496,بركوما,داود,"","","",
497,برهان الدين,جمال الدين,"","","",
498,برهان,نور الدائم,مقبول,"","",
499,بروجيروف,بافل,"","","",
500,بريمة,إبراهيم,بريمة,حسب الله,"",
501,بشار,مصطفى,الأفيوني,"","",
502,بشاير,علي,حسين,أحمد,"",
503,بشرى,مختار,محمد حسين,الإندونيسي,"",
504,بشري,عثمان,الشيخ,"","",
505,بشير,أبكر,بشير,"","",
506,بشير,أحمد,الأنصاري,"","",
507,بشير,أحمد,بشير,"","",
508,بشير,حسن,أبوبكر,عثمان,"",
509,بشير,عبد الواحد,بشير,"","",
510,بشير,علي,بشير,"","",
511,بشير,عيسي,أحمد,عبد الله,"",
512,بشير,كانينج,"","","",
513,بشير,محمد,بشير,"","",
514,بشير,يولنلي,دادة,"","",
515,بكاري,مكامي,فقيه,"","",
516,بكري,عبد الله,جميل,"","",
517,بلال,حبيب الله,مدني,محمد,"",
518,بلال,عبد الله,بلال,"","",
519,بلة,أحمد,محمد,الكرسني,"",
520,به,ري,علي,أحمد,"",
521,بهاء الدين,الهادي,خير,السيد,"",
522,بهو,شوي,فن,"","",
523,بهية,على,عبد الرحمن,سليمان,"",
524,بو,طاهر,محمد,"","",
525,بوان,خير,حسن,محمد,"",
526,بوبكر,باه,"","","",
527,بوحزة,فضيل,"","","",
528,بول,ويرسي,"","","",
529,بونسي,ابيدو,عوض,"","",
530,بونكونغو,سعيد,"","","",
531,بيم,بيم,إدريس,"","",
532,بيمبيلي,كيانقو,نوح,"","",
533,تاج الدين,إبراهيم,عبد الله,حسن,"",
534,تاج الدين,عبد القادر,أحمد,"","",
535,تاج الدين,محمد,نور,"","",
536,تاج السر,بشير,صالح,"","",
537,تاج السر,حمزة,الريح,"","",
538,تاج السر,محمد,عبد الحليم,"","",
539,تاي الله,محمد,على,جفال,"",
540,تجاني,محمد,إمام,"","",
541,تحسين,فالح,مبارك,"","",
542,تراد,عبد الله,"","","",
543,ترهاقا,محمد,حسين,"","",
544,تشانغ,رونغ,رونغ,"","",
545,تشن,جيان,من,"","",
546,تشو,يون,شيا,"","",
547,تشي,يو,"","","",
548,تشين,فنق,مي,"","",
549,تشينغ,شياو,"","","",
550,تقوى,محمد,الامين,عبد الماجد,"",
551,تماضر,خالد,عبد اللطيف,"","",
552,تنوير,عارف,"","","",
553,تهاني,الحسن,منصور,التابي,"",
554,تولوسي,مصطفي,عبد الرازق,"","",
555,تومانسي,عيسى,"","","",
556,تيسير,شبيب,"","","",
557,تيسير,عوض,محمد,الحسن,"",
558,تيسير,محمد,الشيخ,"","",
559,ثالث,هللر,بندا,"","",
560,ثانى,موسي,إياغي,"","",
561,ثريا,أبوبكر,محمد,ادريس,"",
562,ثريا,أحمد,عثمان,المحسى,"",
563,ثريا,حسن,محمد,صالح,"",
564,ثريا,داؤد,سليمان,"","",
565,ثريا,عبد المنعم,سيد,طاهر,"",
566,ثريا,موسي,إدريس,"","",
567,جابر,اسحاق,موسى,ميغا,"",
568,جبريل,عبد الله,انقاري,"","",
569,جبريل,عمر,آدم,"","",
570,جبريل,قمني,علي,التني,"",
571,جبسون,اليكانا,كيما,قاضي,"",
572,جبل,عبد الرحيم,جبل,"","",
573,جعفر,ادريس,محمد,احمد,"",
574,جعفر,حسين,عبد الحميد,الأركاني,"",
575,جعفر,مصطفى,محمد,"","",
576,جلال الدين,حماد,يعقوب,"","",
577,جمال,أحمد,عباس,"","",
578,جمال,أحمد,محمد,هاشم,"",
579,جمال,بابكر,فالح,محمد,"",
580,جمال,حسن,آدم,طه,"",
581,جمال,حسن,موسي,"","",
582,جمال,حسين,جابر,محمد,"",
583,جمال,عبد الهادي,حسين,"","",
584,جمعه,محمد,جادا,"","",
585,جميل,زبير,اسماعيل,"","",
586,جميل,عبد القادر,"","","",
587,جميلة,مصطفى,محمد,أحمد,"",
588,جن,شان,هوي,"","",
589,جهاد,حسن,محمد,يعقوب,"",
590,جواهر,عبد العزيز,الطاهر,"","",
591,جواهر,محمد,عبدون,ناصر,"",
592,جوليا,نورزل,"","","",
593,جوميرى,محمد,"","","",
594,جونا,برهان الدين,فتحي,"","",
595,جياو,تشويو,"","","",
596,جيبو,تجاني,اداريس,"","",
597,جيرنو,أحمد,جابو,"","",
598,جيلانة,فيصل,"","","",
599,حاتم,عشاري,محمود,مختار,"",
600,حاج,حمد,محمد,بابكر,"",
601,حاج,سليمان,عمر,"","",
602,حارث,جئ,نا,عبدالله القطاني,"",
603,حازق,حسين,زكريا,"","",
604,حافظ,أحمد,عبد الله,عز الدين,"",
605,حافظ,جوليات,نور,خالص,"",
606,حافظ,سعد,الرشيد,"","",
607,حافظ,سعد,الرشيد,أرشد,"",
608,حافظ,عبد الرحمن,بشارة,تبن,"",
609,حافظ,عبد الرحيم,محمد,حنيف,"",
610,حافظ,غلام,أحمد,طارق,"",
611,حافظ,محمد,أمين,"","",
612,حافظ,محمد,ظهرو,"","",
613,حافظ,محمد,عبد الله,"","",
614,حافظ,نور,أحمد,شاكر,"",
615,حامد,شاه,محمد,آرتق,"",
616,حامد,عبد الله,عيسى,"","",
617,حامد,عبده,سلطان,"","",
618,حامد,علي,خالد,"","",
619,حامد,محمد,آدم,"","",
620,حبيب الرحمن,عبد الرحمن,عزيز,"","",
621,حبيب الله,محمد,تمبي,"","",
622,حبيب,مصطفى,على,"","",
623,حربي,آدم,حاجي,أحمد,"",
624,حربية,محمد,أحمد,عثمان,"",
625,حرم,الفاضل,عبد القادر,عبد الرسول,"",
626,حرم,يحيى,عبد الله,"","",
627,حسام الدين,سليمان,إبراهيم,"","",
628,حسام الدين,عبد الكريم,عثمان,"","",
629,حسان,عبد القادر,عبيد,"","",
630,حسب الرسول,الصديق,مصطفي,"","",
