أسلوب الإستعارة وتدريسه للناطقين بغير العربية,إبراهيم حنفي مكي محمد,23
إستخدام الفيلم في تعليم اللغة العربية,إبراهيم خالد إبراهيم درويش,24
روايات غسان كنفاني : دراسة معجمية ودلالية - رجال في شعر أم سعد - عائد إلي حيفا,إبراهيم خالد إبراهيم درويش,24
تقييم الكتاب الأساسي علي ضوء مبادئ علم النفس التربوي,إبراهيم خوجلي السيد محمود,25
طرق تدريس اللغة العربية في المدارس الإبتدائية بمحافظة وداي - تشاد - منطقة أبشة,إبراهيم داغي مايدة,26
مشكلات تدريس اللغة العربية في مرحلة الأساس الصف الثامن بمحافظة تلس,إبراهيم داؤود علي إسماعيل,27
إستخدام منحى النظم في تصميم التعليم : دراسة تحليلية بمرحلة الأساس بكادوقلي,إبراهيم رابح صديق إبراهيم,28
مشكلات تدريس اللغة العربية بالمدارس الإبتدائية الأثيوبية بقري مدينة القضارف,إبراهيم سليمان أحمد مختار,29
"تصميم منهج لتدريس اللغة العربية للمدارس الثانوية الحكومية في جمهورية مالي "" في القسم العلمي """,إبراهيم سليمان جاكتي,30
دور الحركة في تغيير المعنى من خلال (مثلث طرب) : دراسة وصفية تحليلية,إبراهيم سليمان حسن علي,31
تقويم امتحانات مادة اللغة العربية للحلقة الثانية لمرحلة التعليم الأساسي بمحلية كتم ولاية شمال دارفور للاعوام 2009 - 2012م,إبراهيم سيد العزيز يحى اسحق,32
تعليم اللغة العربية في جامعة غانا,إبراهيم شعبان,33
التطور الدلالي في كتاب الإيمان من صحيح الإمام البخاري,إبراهيم شعيب زينان طيب,34
دراسة معجمية دلالية من قصيدة البردة للبوصيري,إبراهيم صالح الخلفات,35
الرتبة النحوية في الجملة العربية المعاصرة,إبراهيم صالح الخلفات,35
تعليم اللغة العربية من خلال القرآن الكريم لغير الناطقين بالعربية مستوي متوسطين,إبراهيم عبد الباقي,36
إعداد وتأهيل معلم اللغة العربية في المرحلة الثانوية بمنطقة منديرا - كينيا,إبراهيم عبد اللطيف شيخ,37
الدراسة التقابلية بين اللغة العربية ولغة الهوسا علي المستوي الصرفي,إبراهيم عبد الله شيشي,38
أوضاع اللغة العربية في إرتريا,إبراهيم عبد الله عماد الدين,39
مشاكل تعليم اللغة العربية في مناطق اللاجئين في شرق السودان,إبراهيم عبد الله عماد الدين,39
الإشراف التربوي في المدارس العربية الإبتدائية الحكومية في ولاية كانو - نيجريا : المشاكل والحلول,إبراهيم علي علي,40
الحال وتدريسها للناطقين بغير العربية,إبراهيم عمر أبكر,41
تدريس اللغة العربية في المدارس الثانوية في ولاية كنو بنيجيريا : دراسة وصفية تحليلية,إبراهيم عمر أبكر,41
دراسة تقابلية بين اللغة العربية ولغة صونغاي علي مستوى الأصوات,إبراهيم عمر أمادو,42
تحليل طيفي - للصوائت المفردة في العربية والكورية,إبراهيم كونغ إلجو,43
تحليل الأخطاء الصوتية في نطق اللغة العربية للكوريين,إبراهيم كونغ إلجو,43
بعض مظاهر تطور الدلالة في اللغة العربية المعاصرة,إبراهيم محمد أحمد حمزة,44
دراسة تقابلية بين اللغة العربية ولغة الزغاوة على مستوى التراكيب,إبراهيم محمد شرف الدين,45
إعداد وتدريب معلمي اللغة العربية في المدارس الإبتدائية في مدينة بيدوا في الصومال,إبراهيم محمد نور إبراهيم,46
دراسة تقابلية بين اللغة العربية علي المستوي الصوتي,إبراهيم محمود محمد,47
مناهج المدارس الثانوية العربية الحكومية في نيجيريا : دراسة وصفية تحليلية تقويمية,إبراهيم محمود محمد,47
منهج مقترح لتدريس اللغة العربية للمدارس الثانوية الحكومية الكينية,إبراهيم معلم أمين,48
أساليب الإشراف التربوي في مدارس اللاجئين الليبيريين في غينيا (المنطقة الغابية),إبراهيم موري تراوري,49
التقابل اللغوي بين العربية والهوسا على مستوى الأصوات),إبراهيم ميكطى موسي,50
ظاهرة التقديم والتأخير وأهميتها في تدريس اللغة العربية لغير الناطقين بها,إبراهيم هارون الحاج,51
متن الأجرومية : دراسة تحليلية تطبيقية على المرفوعات والمنصوبات نموذجاً في تعليم النحو للنطاقين بغير العربية,إبراهيم يسن حسن الماحي,52
دلالة ألفاظ الحياة الإجتماعية عند العرب - العصر العباسي الثاني,أَبشر عثمان أحمد محمود,53
أثر إستخدام العامية في تعليم اللغة العربية الفصحي مرحلة الأساس بمنطقة أم كدادة,إبن عمر عبد الله محمد بحر التجاني,54
دراسة معجمية ودلالية للمصطلحات الطبية في مجلة طبيبك الخاص,إبن عوف عباس بن عوف,55
وحدة في تعليم اللغة العربية للبنغاليين الكبار المستوي المتوسط,أبو القاسم محمد عبد الشكور,56
تدريس النصوص الأدبية للطلاب الأندونيسيين في المرحلة الثانوية,أبو المعالي بن أحمد,57
تحليل وتقويم كتاب التيسير في اللغة العربية للصف الأول الإبتدائي في المدارس الحكومية الصومالية,أبو بكر إبراهيم حسن,58
تطور تعليم الكتابة للكبار في حملة التعريب في الصومال,أبو بكر إبراهيم حسن,58
تصميم وحدات وحدات دراسية لتدريس الكتابة للناطقين بغيرالعربية(شعر الأخطل أنموذجا),أبو بكر إبراهيم عمر أحمد,59
الطريقة العملية في تعليم اللغة العربية للناطقين بالفرنسية ( كمدخل لنشر الثقافة العربية لدي الكاميرونيين الفرنكوفونيين ),أبو بكر أحمد أفو,60
منهج مقترح لتعليم اللغة العربية في المدارس الثانوية الحكومية بجمهورية مالي,أبو بكر الصديق سيسي,61
تطور منهج تعليم اللغة العربية في جامعة دكار بالسنغال,أبو بكر أندور,62
تحليل إعراب الجمل العربية في ضوء النحو التوليدي التحويلي,أبو بكر تشوجين يونغ,63
دراسة تقابلية بين اللغة العربية والبنغالية علي المستوي الصوتي التركيبى (المستوي المتوسط),أبو بكر رفيق أحمد,64
دراسة تقابلية بين اللغة العربية والكورية علي مستوي الجملة البسيطة,أبو بكر شوجين يونغ,65
دور الدوافع في تعليم اللغة العربية في المجتمع الصومالي,أبو بكر شيخ عمر أبكر,66
المتغيرات الإجتماعية وأثرها في المنهج,أبو بكر شيخ عيدى إبراهيم,67
التطور الدلالي في العامية السودانية,أبو بكر عبد الرحيم عوض حنفي,68
التحليل اللغوي عند إبن هشام الأنصاري,أبو بكر عبد الله علي شعيب,69
المعارف في اللغة العربية وتدريسها للناطقين بغيرها,أبو بكر علي نافع,70
تعليم اللغة العربية عبر المجالس الدينية في فوتاجالون - غينيا -,أبو بكر محمد علي ساكو,71
دراسة تقابلية بين اللغة العربية والماندنقو,أبو بكر محمد كوناتي,72
تأثير اللغة العربية في ماندنغو - غينيا,أبو بكر محمد كوناتي,72
اللغة العربية واللهجة التونسية : دراسة مقارنة علي مستوي نظام الجملة,أبو بكر هويدي,73
أهمية الوسيلة التعليمية لمعلم اللغة العربية للناطقين بغيرها,أبو عبيدة حسن محمد عكاشة,74
توظيف الألفاظ العربية المستخدمة في اللغة الفلانية في تعليم اللغة العربية للناطقين بغيرها,أبو غيشة,75
دراسة تقابلية بين اللغتين العربية والبنغالية علي مستوي التركيب النحوي,أبو نعمان محمد عبد المنان خان,76
التعلم الذاتي ودوره في تنمية اللغة لغير الناطقين بها,أبوبكر بكر أحمد على,77
ترجمة معجم تفسير كلمات القرآن : إعداد محمد عدنان سالم ومحمد وهبي سليمان، إلى لغة الهوسا من حرف (أ - ش),أبوبكر بلي كبيا,78
منهج التعليم قبل المدرسي في رياض الأطفال الحكومية : دراسة مقارنة بين السودان والنيجر,أبوبكر مامادو إدريس,79
إسهامات أدباء شمال نيجريا في نشر اللغة العربية : دراسة تطبيقية على ولاية كنو,أبوبكر محمد زكر,80
الصعوبات التي تواجه معلمي اللغة العربية في مرحلة الأساس بولاية بحر الجبل كمنطقة تداخل لغوي,أبوقو لاسوبا أباتي,81
الإشراف التربوي في التعليم الثانوي الموريتاني,أبوه ولد محمد ولد بلبلاه,82
المشكلات التي تواجه المدارس الثانوية الحكومية القابونية في تعليم اللغة العربية لغير الناطقين بها,إبيزا جيرفي بكري,83
دور التوجيه المعنوي في تعليم اللغة العربية لغير الناطقين بها من قوات الشرطة السودانية,إحتفال حسن أحمد,84
دور لوحة الجيوب في معالجة الأخطاء الكتابية لتلاميذ الحلقة الأولى - مرحلة الأساس : تطبيقات على وحدة الأزهرى - الخرطوم,إحسان تيراب تبن,85
توظيف الإسلوب القصصي لتنمية مهارة الإستماع والفهم لدى الناطقين بغير العربية,إحسان حسين يحيى,86
خطة لإعداد معلمي مرحلة التعليم قبل المدرسي بمناطق التداخل اللغوي,إحسان عبد الماجد محمد حمد,87
أثر العامية في التعبير الكتابي : دراسة تقابلية مدرسة كادوقلي الثانوية بنات الصف الثالث أنموذجا,إحسان كوكو تيه,88
"دراسة إحصائية معجمية دلالية لديوان الشاعر صلاح أحمد إبراهيم "" غضبة الهبباى """,أحلام دفع الله محمد علي,89
دراسة تقابلية بين اللغتين الصومالية والعربية علي المستوي النحوي,أحمد إبراهيم أحمد,90
التأخر الدراسي لدى تلاميذ مرحلة الأساس بمحلية الجنينة 2008 - 2009 م,أحمد إبراهيم أحمد عثمان,91
المعجم الوسيط (عربي - هوسا) ترجمة معاني مادة حروف (الراء واللام والكاف والضاد),أحمد أبوبكر,92
إعداد وتدريب القيادة التربوية بالمعاهد والكليات الجامعية في تشاد,أحمد أبوبكر حسن,93
الصعوبات الصوتية لغير الناطقين بالعربية من الهوسا في شمال نيجيريا,أحمد أبوبكر وشيشى,94
القيم التربوية في شعر الفرزدق وكيفية تدريسها للناطقين بغير العربية,أحمد إدريس آدم أحمد,95
اللام المفردة والكاف وتدريسها للناطقين بغير العربية,أحمد آدم حمدان أبو البشر,96
نظام المقاطع الأندونيسية تقابلها نظام المقاطع العربية المعاصرة : دراسة إحصائية في علم الأصوات,أحمد اسماكون محمد الياس,97
تصميم الإختبارات اللغوية لمهارة القراءة للناطقين بغير العربية في المدارس الثانوية بولاية كادونا - نيجيريا,أحمد التجاني عثمان,98
الإدغام في رواية الدوري عن أبي عمرو بن العلا,أحمد التجاني كرم الدين,99
إتجاهات البحث التربوي بمعهد الخرطوم الدولي للغة العربية 90 - 1991,أحمد الحاج عمر فضل الله,100
مناهج التعليم في معهد الخرطوم الدولي للغة العربية,أحمد الحسن سمساعة,101
الفعل اللازم بين الصدي واللزوم : دراسة نحوية مقارنة لإستخدام الفعل اللازم في النصين القرآني والنثري,أحمد الحسن سمساعة,101
أمراض الكلام وأثرها في تعليم اللغة العربية للناطقين بغيرها,أحمد الزبان عمر بريمة,102
الطباق والمقابلة وطرق تدريسها للناطقين بغير العربية من خلال نوتية إبن زيدون,أحمد الشيخ أحمد النور,103
معجم المهن,أحمد الطيب علي خالد,104
التخطيط اللغوى,أحمد الطيب محمد عبد الكريم,105
دور الإشراف التربوي في تطوير كفاية تخطيط الدروس لمعلمي المرحلة الثانوية ولاية القضارف,أحمد العوض حسن الجزولي,106
دراسة تقابلية بين اللغة العربية واللغة التركية علي مستوي الجملة البسيطة,أحمد أوزركان,107
الطريقة السمانية في السودان ودورها في نشر وإثراء اللغة العربية,أحمد بابكر محمد بابكر,108
أثر الوسائل التعليمية في تعليم اللغة العربية لغير الناطقين بها,أحمد بحر الراوي,109
سيكولوجية الوسائل التعليمية لتعليم اللغة العربية لغير الناطقين بها,أحمد بحر الراوي,109
مشروع معجم المصطلحات الإقتصادية العربية المستخدمة في المصارف الإسلامية وتعليمها للإقتصاديين الإندونيسيين عربي – إندونيسي,أحمد بشري عبد الصمد سالي,110
تدريس القرآن الكريم في تشاد - منطقتي كانم ووداي,أحمد بين آدم,111
دور الإشراف التربوي في المدارس العربية بالكاميرون (دراسة وصفية تحليلية),أحمد تايا,112
المعجم الوجيز عربي - هوسا (ض، ع، هـ),أحمد تجاني رمضان,113
معجم ثنائي اللغة ، عربي - بالمبانجي (ح - ر),أحمد ترمذي بن أشعري,114
تحليل أخطاء معلمي القرآن الكريم الفولانيين في خلاوي شمال الكاميرون,أحمد جروز طاهر,115
إنتشار اللغة العربية في السنغال وتأثيرها الاجتماعي,أحمد جو,116
دراسة تقابلية بين اللغة العربية واللغة الولوفية علي مستوي الجملة البسيطة,أحمد جو,116
المشكلات الصوتية التى تواجه متعلمي اللغة العربية للناطقين بالولوفية في السنغال وعلاجها,أحمد جوب,117
مشكلات تعليم اللغة العربية لدى تلاميذ مرحلة الأساس الناطقين بغير العربية (ولاية البحر الاحمر - محلية درديب),أحمد حامد عمر أوشيك,118
بناء وحدة تعليم اللغة للمبتدئين الأجانب,أحمد حسن الحليسي,119
تأثير اللغة علي اللغة الفارسية والإفادة منه في تيسير تعليم العربية لمتكلمي الفارسية,أحمد حسن الحليسي,119
طرق وأساليب تدريس العلوم الشرعية مستوي المبتدئين - معهد اللغة العربية بجامعة إفريقيا العالمية,أحمد حسن محمد خير,120
أثر العامية في التعبير الشفوي لدي طلاب المرحلة الثانوية,أحمد حسين أحمد حبيب,121
تعليم اللغة العربية في المدارس الحكومية الجيبوتية المرحلة الإعدادية,أحمد حسين ميجية,122
الدلالة اللغوية للأغاني الشعبية النوبية لقبيلة الأجانج الكاركو,أحمد حماد عيسى بلة,123
المعجم المساعد لمتعلمي اللغة العربية في إندونسيا - عربي - إندونيسي,أحمد حنفي بن محمد علي,124
المشاكل التي تواجه تعليم اللغة العربية في المدارس الثانوية الحكومية في منطقة شمال شرق كينيا,أحمد خليف حسن,125
لغة الإعلان في صحيفة الدستور الأردنية,أحمد داودية,126
القيم التربوية في خطب الحجاج بن يوسف الثقفي - توظيفها في تعليم اللغة العربية للناطقين بغيرها,أحمد زاهر سيف الطيواني,127
تعليم اللغة العربية في المعاهد الإسلامية والجامعات الإسلامية الحكومية باندونيسيا,أحمد زهرا,128
إسهام اللغة العربية في اللغة الإندونيسية,أحمد زهرا,128
معجم ثنائي اللغة عربي - آتشي (ع، غ، ف),أحمد ساتي أنور,129
تقويم منهج النحو في المدرسة الثانوية في اليمن,أحمد سالم عبد الله الضريبي,130
المحتوي النحوي للكتاب الأساسي,أحمد سر الختم أحمد,131
"إستخدام "" أن "" المتعدد في اللغة العربية وتدريسها للناطقين بغيرها",أحمد سر الختم أحمد,131
التمييز في اللغة العربية وتدريسه للطلاب الإندونيسين,أحمد سعيد محمد مهيب,132
لغة اللوسوكاو وكتابتها بالحرف العربي كمدخل لتعليم اللغة العربية,أحمد سليمان عرابي,133
أدوات الربط في اللغة العربية وتدريسها للناطقين بغيرها من الإندونيسين,أحمد سهري بوناوان,134
التحليل الصوتي للهجة الملايوية في منطقة باتوبارا في مقابل اللغة العربية,أحمد سيزالي إبراهيم,135
الصعوبات الصوتية التي يواجهها الناطق الإندونيسي في تعلمه للغة العربية,أحمد سيوطي أنصاري ناسوئيون,136
تدريس البلاغة لغرض معرفة إعجاز القرآن الكريم,أحمد شاة,137
دراسة تقابلية بين اللغتين العربية والفولانية من ناحية التركيب اللغوي,أحمد شارنى جالو,138
الصعوبات التي تواجه طلبة الخلاوي القرآنية عند تعلم اللغة العربية في جزر القمر,أحمد شجاع أمبابانزا,139
إسناد الأفعال إلى ضمائر الرفع المتصلة وطريقة تدريسها للناطقين بغيرها,أحمد شريف طاهر إبراهيم,140
كيفية تدريس المفعول المطلق لغير الناطقين بها,أحمد شريف محمد,141
دراسة تقابلية بين اللغة العربية واللغة الأندونيسية علي مستوي الزوائد,أحمد شهاب الدين,142
قراءة القرآن المجوّدة والطريقة المقترحة للناطق بالإندونيسية,أحمد شهاب الدين,142
الأفعال اللازمة والمتعدية,أحمد شيخ حسن أحمد,143
الكتابة والإستفادة منها في نشر اللغة العربية في الصومال,أحمد شيخ حسن أحمد,143
ضعف التعبير الكتابي لطلاب المرحلة الإعدادية بمحافظة منديرا - كينيا (من وجهة نظر الطلاب الذين تخرجوا في هذه المرحلة),أحمد شيخ عبي,144
مهارة إدارة الصف لمعلمي اللغة للناطقين بغيرها في تنزانيا : دراسة وصفية تحليلية,أحمد صالح أمان,145
التعليم قبل المدرسي : دراسة تحليلية تقويمية,أحمد صالح مدني,146
المحظور لغويا وأثره في تعليم اللغة العربية للناطقين بغيرها,أحمد صديق أحمد ضاوي,147
الدخيل في العربية الفصحي,أحمد صيبري,148
القياسي وأثره في تقعيد النحو العربي,أحمد صيبري,148
أهمية الدوافع في تعليم اللغة العربية لغير الناطقين بها,أحمد طه عبد المشهداني,149
دراسة تحليلية تقويمية لمنهج تعليم اللغة العربية للمبتدئين الأجانب في العراق,أحمد طه عبد المشهداني,149
مظاهر الضعف في رسم وضبط الكلمات العربية للناطقين بغير العربية ووسائل علاجها,أحمد عباس أحمد,150
دور النص الشعري في تعليم اللغة العربية للناطقين بغيرها - نماذج من أشعار - كيرة عزة,أحمد عباس محمد زين,151
دراسة صوتية دلالية للهجة تشاد العربية (الأدب الشعبي ببادية الإقليم الشرقي نموذجا),أحمد عبد الرحمن سماعين,152
العوامل المؤثرة في إكتساب اللغة الثانية,أحمد عبد الله أحمد المصطفي,153
تحليل الأخطاء الشائعة في اللغة العربية في الصف السادس الإبتدائي في منطقة الدلنج,أحمد عبد الله البشير,154
الجملة الإستفهامية في العربية المعاصرة,أحمد عبد الله حمّاد,155
تعليم أصوات اللغة العربية للناطقين بالسواحيلية,أحمد عبد الله محمد,156
دراسة معجمية و دلالية للمعجم الوسيط,أحمد عبد الوهاب الشعراني,157
تقويم منهج البلاغة في المدرسة الثانوية في اليمن,أحمد عبده مكرد عزعزي,158
دراسة تحليلية تقويمية لكتاب الطالب (3) من سلسلة العربية بين يديك,أحمد عثمان أحمد علي,159
ظاهرة الترخيم في اللغة العربية,أحمد عطية ضيف الله السعودي,160
تقويم اداء معلم اللغة العربية بمرحلة التعليم الاساسي (الحلقة الاولى) محلية الكرمك وحدة الكيلي بولاية النيل الازرق,أحمد على احمد يسن,161
أصوات اللغة العامية العربية في محافظة الخرطوم,أحمد علي أحمد عيساوي,162
مؤثرات البيئة علي عملية تعليم وتعلم اللغة العربية للناطقين بغيرها,أحمد علي أحمد عيساوي,162
همزتا الوصل والقطع عند المحدثين وطريقة تدريسهما للناطقين بغير العربية,أحمد علي الإمام,163
دراسة معجمية دلالية لروايات الطيب صالح,أحمد علي خوجال,164
كتابة اللغة القمرية بالحرف العربي كمدخل لتعليم اللغة العربية,أحمد علي سعيد محمد,165
مشكلات تعليم اللغة العربية في مدارس جنوب الخرطوم,أحمد علي سعيد محمد,165
تحليل وتقويم منهج اللغة في المدارس الثانوية الحكومية في الصومال,أحمد علي مالم,166
طرق تعليم اللغة العربية في المرحلة الإبتدائية والإعدادية في الصومال,أحمد علي مالم,166
الألفاظ العربية في لغة سنغاي في السودان,أحمد عمر التجاني,167
قضية الإعراب ومعالجة تعليمه لغير الناطقين بالعربية,أحمد عمر الحسن,168
منهج مقترح في اللغة العربية للصف الثاني الإبتدائي بالصومال,أحمد فارج موسي,169
السمات الفونولوجية للأصوات العربية بين القرآن الكريم واللغة الفصحي : دراسة مقارنة,أحمد فضل الله إحيمر,170
دراسة تقابلية بين اللغة العربية واللغة الجاوية علي المستوي الصوتي,أحمد فوزي,171
دراسة لبعض الألفاظ العربية المستخدمة في القاموس الإندونيسي المعاصر,أحمد فوزي,171
الخصائص الصرفية والتركيبية للصفة في اللغة الكورية واللغة العربية : تحليل تقابلي,أحمد كيم سونغ أون,172
دراسة تقابلية بين اللغة العربية واللغة الكورية علي مستوي الجملة المركبة,أحمد كيم سونغ أون,172
دراسة تقابلية في نظام العدد ومعدوده بين اللغة العربية واللغة الهوسوية,أحمد لقمان أحمد,173
تجربة المدارس القرآنية السنغالية في تعليم اللغة العربية (مدرسة كوكي نموذجا) : دراسة وصفية تحليلية,أحمد لوح,174
كتب لصرف في سلسلة تعليم اللغة العربية بمعهد العلوم الاسلامية والعربية في جاكرتا اندونيسيا : دراسة وصفية تحليلية تقويمية,أحمد محفوظ عبد القادر,175
تعلم اللغة العربية بإستخدام الحاسوب : دراسة مقارنة بين برنامجين حاسوبيين,أحمد محمد أحمد أبكر,176
اللغة والمشكلات اللغوية التي تواجه متعلمى اللغة العربية من تلاميذ المدارس الإبتدائية منطقة ديم فلاتة,أحمد محمد أحمد درو,177
مستوى تحصيل اللغة العربية لدى تلاميذ الصف السابع مرحلة الأساس هيا,أحمد محمد أوهاج,178
تعلم اللغة العربية بطريقة التعليم الذاتي لغير الناطقين بها,أحمد محمد بابكر,179
قضية الإعلال في الفعل العربي,أحمد محمد داوية,180
الدخيل من اللغة الفرنسية في العربية التشادية - إقليم البطحا أنموذجا,أحمد محمد زقلو,181
دراسة إحصائية للتتابعات الفونمية في اللغة العربية المعاصرة ممثلة في الصحافة السودانية,أحمد محمد عبد الرحمن,182
التقابل اللغوي بين اللغة العربية والقمرية علي مستوي الأصوات,أحمد محمد محمد غايا,183
علم اللغة التطبيقي وصلته بتعليم اللغة العربية لغير الناطقين بها,أحمد محمد موسي,184
المشكلات التي تواجه التعليم العربي في تشاد,أحمد محمد موسي,184
تحليل وتقويم منهج اللغة العربية في المعهد الإسلامي المسطورية في سوكابوتى - إندونيسيا,أحمد مرادي سائمان,185
أهمية الإستفادة من وسائل الإعلام في تعليم اللغة العربية في إندونيسيا,أحمد مرادي سائمان,185
الإشراف التربوي في المدارس الأهلية في جمهورية الصومال فترة ما بين 1995 - 2003 : دراسة وصفية تحليلية,أحمد معو أحمد عثمان,186
المعجم الاقتصادي عربي - إندونيسي,أحمد مفتاح الدين بن فوزان,187
دور الاشراف التربوي في ترقية اداء معلمي اللغة العربية مرحلة الاساس - محلية الدمازين,أحمد نصر بادريس اللبيح,188
مركزية المتعلم وما يترتب عليها في مجال تعليم وتعلم اللغات الأجنبية,أحمد نواف الرهباني,189
توظيف نظرية المحاولة والخطأ في تعليم اللغة العربية للناطقين بغيرها,أحمد نور شيخ محمد,190
تنمية مهارات اللغة العربية للناطقين بغيرها من خلال انشطة التحليل لنصوص القراءة على المستوى (الدلالي - القيمي - المواقفي),أحمد هادي جمال الدين,191
معجم تعليمي ثنائي للمفردات الأساسية في اللغة العربية (عربي - إندونيسي) (ط - ع),أحمد يني بن إمام صباري,192
تيسير النصوص للناطقين بغير العربية كتاب الرحيق المختوم أنموذجا (المرحلة السرية),أحمدو ولد محمدو ولد بدو,193
استخدام الطريقة التكاملية في تعليم اللغة العربية للناطقين بغيرها ( المستوى المبتدئ),إخلاص أحمد فرج الله على,194
تعليم اللغة العربية للناطقين بغيرها عن طريق النشاط,إخلاص أحمد مختار,195
سيكولوجية الوسائل التعليمية في تعليم اللغة لدي الطفل,إخلاص عبد اللطيف علي الدول,196
الإتجاهات النفسية نحو القراءة لدي طلاب معهد اللغة العربية بجامعة إفريقيا العالمية,إخلاص كمال الطاهر,197
علم البديع وطرق تدريسه لغير الناطقين باللغة العربية,إخلاص مصطفي سليمان,198
مدى ملائمة المنهج القومي للغة العربية لتلاميذ الحلقة الأولى مرحلة الأساس,إخلاص هارون إبراهيم أبكر,199
"كتابة اللغة الأورومية "" لهجة اليورات "" بالحرف العربي كمدخل لتعليم القراءة والكتابة",آدت سمان شيخ,200
معجم ثنائي اللغة عربي - هوسا معاني مادة حرف الجيم من المعجم الوسيط,إدريس إدريس جبريل,201
مناهج تعليم الكبار في السودان بين النظرية والتطبيق,إدريس بابكر إدريس الفحل,202
المدخل لدراسة الفعل المساعد في اللغة العربية,إدريس بابكر إدريس الفحل,202
كتابة لغة لوكندا بالحرف العربي,إدريس حبيب لومابي,203
دور المعاهد الأهلية في تعليم اللغة العربية في إرتريا,إدريس علي جمعة,204
طريقة تدريس مادة التربية الإسلامية في مدارس جهاز التعليم الإرتري بشرق السودان المرحلة الإبتدائية,إدريس علي جمعة,204
منهج ومادة مقترحة لتأليف كتاب للمبتدئين غير الناطقين باللغة العربية,آدم إبراهيم أحمد,205
تحليل الأخطاء النحوية في التعبير الكتابي الحر لطلاب الصف الأول الثانوي محلية مليط - ولاية شمال دارفور,آدم أحمد إسحاق عبد الله,206
التعليم التعاوني وملاءمته لتدريس اللغة العربية للناطقين بغيرها - المستوى المتقدم بالتطبيق على معهد اللغة العربية - جامعة افريقيا العالمية,آدم احمد اصيل,207
صعوبات نطقية في اصوات اللغة العربية بمدارس التداخل اللغوي - مدينة الجنينة -,آدم إدريس ضحية إبراهيم,208
البدل في اللغة العربية وتدريسه لغير الناطقين بها,آدم أيوب بشير,209
تصميم منهج لتدريس اللغة العربية للتشاديين الراشدين,آدم بكر صالح,210
اللغة العربية العامية لغة التخاطب في تشاد,آدم بكر صالح,210
تقويم منهج تدريس اللغة العربية في الجامعة الإسلامية في يوغندا,آدم زكريا جمعة اميازيرا,211
المنهج المحوري في إنتاج الأصوات العربية للمبتدئين الأجانب,آدم طه حسين,212
تعليم اللغة العربية في المدارس العربية الأهلية في توغو : المشكلات والحلول,آدم عبد السلام,213
العدد وتدريسه للناطقين بغير العربية من خلال القرآن الكريم,أدم عبد الله أبو أبكر يحيى,214
